baggbrt_mean,baggbrt_std,ppov0_mean,ppov0_std,ppov1_mean,ppov1_std,sac_mean,sac_std
0.035733706,0.000721377,0.006880545,0.022354998,0.011193403,0.006326166,0.024294701,0.033443675
0.035865591,0.00069009,0.005129658,0.020400724,-0.022239121,0.090462763,-0.070464712,0.058478963
0.035708842,0.000745775,0.006480159,0.017385698,-0.073568848,0.06404889,-0.018474848,0.045706316
0.036835142,0.001003562,-0.00902948,0.011165586,-0.038369937,0.039225986,-0.00651569,0.04913399
0.035865592,0.000609803,0.01281238,0.011317091,0.011732854,0.008323509,0.011480607,0.02301631
0.035997477,0.000541212,0.006730686,0.018722746,-0.02935239,0.053963629,-0.001483702,0.076221226
0.034219451,0.001748297,-0.018254769,0.029953699,-0.004951456,0.051513941,-0.001723898,0.053161053
0.035013874,3.52E-05,0.009826066,0.008204144,0.010626135,0.006512659,-0.006175843,0.059813213
0.034960768,6.51E-05,0.012717226,0.023144907,-0.036339546,0.069495218,0.00416231,0.064259847
0.035170624,0.000186515,-0.002388125,0.025160676,0.008870333,0.057325901,0.008896648,0.047130961
0.035013874,3.52E-05,-0.067089249,0.060975299,0.006743121,0.025589426,0.00227224,0.010067054
0.034960768,6.51E-05,-0.011336075,0.007642422,0.005171044,0.026447477,-0.009743848,0.008791266
0.033930816,0.001514401,-0.034660506,0.055444144,-0.041563203,0.058882214,0.01182887,0.008789819
0.033930816,0.001514401,-0.028568059,0.047241796,-0.045043924,0.052626449,0.000419222,0.004026703
0.035013874,3.52E-05,-0.053971267,0.071623793,0.00304418,0.024946074,-0.041180405,0.091146111
0.035249404,0.000415701,0.014953233,0.019696751,0.010354603,0.03106881,0.024495642,0.021735735
0.034219451,0.001748297,-0.029875912,0.065487107,-0.000358806,0.016999313,0.008815259,0.019140834
